

农业学习,#genre#
无花果水培根,http://dpv.videocc.net/5fb154de5d/8/5fb154de5dc3d9b6fb14e6eaddf9b8d8_2.mp4?pid=1593221003069X1980203
厨房垃圾变肥料,http://dpv.videocc.net/5fb154de5d/d/5fb154de5dbffc523a6ff1d2683603cd_2.mp4?pid=1593300324783X1635701




小猪佩奇,#genre#
小猪佩奇138,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5287727718f54fd89eb3d991bc41b3fb/850.m3u8
小猪佩奇137,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/037e08be80de4302bef5b571fd9bd52a/850.m3u8
小猪佩奇136,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/b5ce5c0cd3df4ee699882698fbcd11e4/850.m3u8
小猪佩奇135,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/85a9a74972ea4e8bbecd4199636cc0d4/850.m3u8
小猪佩奇134,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/64b7ae2783304840ae35d2f99b99d3e3/850.m3u8
小猪佩奇133,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/0a62e89444604eec9b52d473dc3d22c5/850.m3u8
小猪佩奇132,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/117fbce4c4cb4e6c89337ca320ae5d10/850.m3u8
小猪佩奇131,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/87b12c44ea6348ad9eb48abd69e2c7d8/850.m3u8
小猪佩奇130,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/038fa4751114435aa5321b33d598f848/850.m3u8
小猪佩奇129,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/e22b1713a27c453c88ea98a10ac213fc/850.m3u8
小猪佩奇128,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/ac2c4e8a334c412e9239452856e05cb9/850.m3u8
小猪佩奇127,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/f04b49538a414d8cb1623378591c9caa/850.m3u8
小猪佩奇126,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/73f50baa610d4bffaf9eca7de19a9b60/850.m3u8
小猪佩奇125,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/249e95c062954e459abf385ef1eeb41d/850.m3u8
小猪佩奇124,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/884003dff4b045efa3d1f31c4cf1fee2/850.m3u8
小猪佩奇123,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/90509ea71b5a4e91896df3ecf8afd50c/850.m3u8
小猪佩奇122,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/d55ed5548d96472893b06559a6b7df2e/850.m3u8
小猪佩奇121,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/75c3cc367b9843cfb34b898ceda322dd/850.m3u8
小猪佩奇120,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/846f9d28bdb7405e804ede6e1c10bb73/850.m3u8
小猪佩奇119,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/859bb1238f5b426883367467cf936e16/850.m3u8
小猪佩奇118,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/a0fd3a23c66646ec895c0a78873ab639/850.m3u8
小猪佩奇117,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/e8ad348b61664ed0a85cd28876b8747b/850.m3u8
小猪佩奇116,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c36a515424724675ac0bf6b34c793424/850.m3u8
小猪佩奇115,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/dc172b95a651469ab8327396c50c629c/850.m3u8
小猪佩奇114,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/27f40b9d936345ac85bf31f21fb3198a/850.m3u8
小猪佩奇113,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/90c6a419361b4d44b6746a40d73f0440/850.m3u8
小猪佩奇112,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5979524f6a0d488f961d72cede0b046d/850.m3u8
小猪佩奇111,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/e6fbde84a0ce4475b50ba96948be3d8c/850.m3u8
小猪佩奇110,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/8ac9cd0737a147939dee4d8434fcd2a6/850.m3u8
小猪佩奇109,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c3b64fd37bf94d3e852c6d52c648d33e/850.m3u8
小猪佩奇108,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/d1d55bc1af494428bdc451ba44bfd30a/850.m3u8
小猪佩奇107,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/dfc52662573242ceaaf0f7a1e1e80492/850.m3u8
小猪佩奇106,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/3691429ebf294738bf538d1685b3b8da/850.m3u8
小猪佩奇105,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/9fdc0405c08244c29fa88eee46bddfd0/850.m3u8
小猪佩奇104,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/d24d1bfbb2ab4668b596d2b2f3b77378/850.m3u8
小猪佩奇103,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/e0df8257c0cd48e287dd949c7b374fd1/850.m3u8
小猪佩奇102,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/05db258445ce4a8e8f8843ced507808f/850.m3u8
小猪佩奇101,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/44e96003de8b43fdb7ef3d306950bb91/850.m3u8
小猪佩奇100,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c455119e0dfd488f8576161a1e2b82fb/850.m3u8
小猪佩奇099,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/6cd8f17629844963bf7e9ef551d1b597/850.m3u8
小猪佩奇098,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/da71ae191fb64df38acec69d16eb8957/850.m3u8
小猪佩奇097,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/7b13a9a0510e42bebf494dab8effa292/850.m3u8
小猪佩奇096,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5ddd6dd6209145418e25cc69546c4a86/850.m3u8
小猪佩奇095,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/e3f11e3ccc1149ada61b53565e9d435d/850.m3u8
小猪佩奇094,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/684a89ac2aa94701a3273514583c9d07/850.m3u8
小猪佩奇093,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/0c2bba4a1f3543fbb8adf1d33f4e5166/850.m3u8
小猪佩奇092,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/b2f44a23dd4c47608c94a30ae18aa219/850.m3u8
小猪佩奇091,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/32656ee7909e41adaba6d0af02f1224c/850.m3u8
小猪佩奇090,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/adfd241128654b83a40e36d8b59544d8/850.m3u8
小猪佩奇089,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/0e6d89e7867441b2a2eb6c6cedc88ea6/850.m3u8
小猪佩奇088,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/fc2ba1aa649148208964f09b457829c5/850.m3u8
小猪佩奇087,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/b29757d9cfb848b0866f67e7344ddb60/850.m3u8
小猪佩奇086,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/0acc31e365314726b0b38d0f02e95194/850.m3u8
小猪佩奇085,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/b6a54925de4541e7809ec4694b9548f5/850.m3u8
小猪佩奇084,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/8f5a7db4f3fa4259a8eff2cd44eaa950/850.m3u8
小猪佩奇083,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/33ab04721302470e9b1ba127179c270d/850.m3u8
小猪佩奇082,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/9be2819d80cf4efb98d5f6a7072033e6/850.m3u8
小猪佩奇081,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/7498338e180749659aff5dd555c2e19e/850.m3u8
小猪佩奇080,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/a3a409fc5a2c4eb69ca0ee9735be8c2c/850.m3u8
小猪佩奇079,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/9cbef271f6c64f0fa94a3f1ffb749db0/850.m3u8
小猪佩奇078,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/fe93bc7e48b4488cbe50a9a560414f97/850.m3u8
小猪佩奇077,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/2dc0df4df73746bf8b788132675c13b2/850.m3u8
小猪佩奇076,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/30cab45e8e9e4a728ff9f56a4b4d6c0e/850.m3u8
小猪佩奇075,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c27a9b899f2f48bda9e580d965f7cc8a/850.m3u8
小猪佩奇074,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/f8155e099fd349c7966ea0d4f0852e13/850.m3u8
小猪佩奇073,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c467b01342e94190936edcd8d8af65b3/850.m3u8
小猪佩奇072,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/aae3ff18c6544cfcb7eec2f09bfe974e/850.m3u8
小猪佩奇071,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/494f8e0690244ba89f9af61371c47dc2/850.m3u8
小猪佩奇070,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/a444d153d355414ba7ed52c66e989481/850.m3u8
小猪佩奇069,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/aa1235a6e3bd499480096cfabec04573/850.m3u8
小猪佩奇068,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/fa4aa467b33d4e7cb1ab3bf2bcf4c0e6/850.m3u8
小猪佩奇067,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/ba468ac532e541f1be3a27573694fdb7/850.m3u8
小猪佩奇066,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/d7b90b3547c144899102b1db9e8a6895/850.m3u8
小猪佩奇065,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5dcff44f533f438d96703a48139257f0/850.m3u8
小猪佩奇064,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5e987a5eb7bc4304bbadb60344864fc6/850.m3u8
小猪佩奇063,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/dfe0a80c77fd4536bd8a7577b1de7d56/850.m3u8
小猪佩奇062,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/4a26960eea5246049503569fd702a237/850.m3u8
小猪佩奇061,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/fce8209fc39d411b930b8d412fd6a987/850.m3u8
小猪佩奇060,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/07d68f1ef54546d4b3ad60cf20b83069/850.m3u8
小猪佩奇059,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/843b03be25614b17a74420903b217161/850.m3u8
小猪佩奇058,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/87bb8af590764470bad93e87dfbecd29/850.m3u8
小猪佩奇057,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/8a3f5f5e2edc4095ab6d4ffa356e1fec/850.m3u8
小猪佩奇056,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/9cfddc0e51b5497f8805d027eaad8fd1/850.m3u8
小猪佩奇055,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/48225b52a6b0487dbabc669200d1a213/850.m3u8
小猪佩奇054,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/afaa408084ec492d93de69c9a2722b1d/850.m3u8
小猪佩奇053,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/b59df8a7bbb343a89b3255a6934c64a5/850.m3u8
小猪佩奇052,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/508181f7e58d45e3b452a09ac08ae062/850.m3u8
小猪佩奇051,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/4deb8a8a99324ce881aceeeca6f644cb/850.m3u8
小猪佩奇050,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/3fb7645aa0f347bfa4f422badf369c58/850.m3u8
小猪佩奇049,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/a1a6c0ace4d347068885c0c841e4fccb/850.m3u8
小猪佩奇048,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/db52787837354dadbd9b1a7f1c2ab900/850.m3u8
小猪佩奇047,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/b941693131214d6e8ecf1dafb0d24d78/850.m3u8
小猪佩奇046,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/2056d17a69c844c39c83c3a1cb451fd8/850.m3u8
小猪佩奇045,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/70b4e666e3ae44f5bb6db621206c89df/850.m3u8
小猪佩奇044,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/510bd104865046d1bc72c79aeef5b008/850.m3u8
小猪佩奇043,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/4b82b45071fc4cea9005562df5e1b945/850.m3u8
小猪佩奇042,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/7312219c6da94b27b200461d652ade18/850.m3u8
小猪佩奇041,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/18ec8d83a02541c99239be9463bcefd8/850.m3u8
小猪佩奇040,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/726e959e8cf54204bc965a7821940def/850.m3u8
小猪佩奇039,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/dccc088cadd44293b15435d40fc5ca70/850.m3u8
小猪佩奇038,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/8201f66f865c42df957a0986fb762e9b/850.m3u8
小猪佩奇037,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/0cbe5036c96c4e1288a387e0d2ac94e0/850.m3u8
小猪佩奇036,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/ca662a8fc2784767a04661f35480eae2/850.m3u8
小猪佩奇035,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/e1b00e6818fb4b7fa90f43b3083256ec/850.m3u8
小猪佩奇034,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5ab833c5ab074896b37b27afedd372b2/850.m3u8
小猪佩奇033,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/886e8a5cfb3a4c6cb07eb977849057a5/850.m3u8
小猪佩奇032,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/fcc1a658704e46399af85d3734b88dd7/850.m3u8
小猪佩奇031,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/2d47faa5fd6048258dbd5521658c8aeb/850.m3u8
小猪佩奇030,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/44827089946e47458b14f738ef5ad75c/850.m3u8
小猪佩奇029,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5f35f5e7ea7941c5a23931291e3b8b43/850.m3u8
小猪佩奇028,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/323e94884d92487c888de167ba56d0fb/850.m3u8
小猪佩奇027,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/7007b7345cc6466c8689181ded8743e8/850.m3u8
小猪佩奇026,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/db6f0d7768e2469db3e4918fbf581a20/850.m3u8
小猪佩奇025,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/84647431d2ee451bb25bff92e85ba6ac/850.m3u8
小猪佩奇024,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/a70f7eb8e70f4740b8f9319683ddfae2/850.m3u8
小猪佩奇023,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/a704b004d8444fa8b9f25e1b283fc553/850.m3u8
小猪佩奇022,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/573615f532644ffe92663f3560d147ab/850.m3u8
小猪佩奇021,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/8084e57cfac444e8a9a32818a0fc6bf3/850.m3u8
小猪佩奇020,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/5dcb55cede734b9e8ac61d38ff7d8a49/850.m3u8
小猪佩奇019,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/7c7909eacda94ad091f99dd4f6581222/850.m3u8
小猪佩奇018,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/2411e6fb6eab406b9616a2a06096160d/850.m3u8
小猪佩奇017,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/b7c20322e3c542f8b36b6be709504568/850.m3u8
小猪佩奇016,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/e323ffc96be244458a1cc9aa1693751b/850.m3u8
小猪佩奇015,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/71bf6c88c4c149da88885d08e4493063/850.m3u8
小猪佩奇014,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/7b0585d4acdb48deb861ef3cbafa4cf7/850.m3u8
小猪佩奇013,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/0f2739e728ec468e90ac7f7b38a8932d/850.m3u8
小猪佩奇012,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/61e8b761f540453896cca0b44f94b7d7/850.m3u8
小猪佩奇011,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/8b28655c23ba4c97a26ab39a7fad7b8a/850.m3u8
小猪佩奇010,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/4ee1975fae814bb183db93af59223bd2/850.m3u8
小猪佩奇009,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/933fe890e678410d9e1dbcc1577bba1e/850.m3u8
小猪佩奇008,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/c474b2a647044e89aa982d05abc7470e/850.m3u8
小猪佩奇007,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/50adf8eed8824cec96d693e755f26878/850.m3u8
小猪佩奇006,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/9ef314447b4f49ecabecf745f24947bf/850.m3u8
小猪佩奇005,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/bc9e3dd496f342de977b68ed9199e00e/850.m3u8
小猪佩奇004,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/cacee61eeac643ff8c3512f2044b9366/850.m3u8
小猪佩奇003,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/a81fae2a8d1141ca9d041715fdba3e26/850.m3u8
小猪佩奇002,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/405b104872d94b3a91395ccb32ab54c8/850.m3u8
小猪佩奇001,https://newcntv.qcloudcdn.com/asp/hls/850/0303000a/3/default/91226e8d4f664fefa888e31d72ed8cd5/850.m3u8


佛教,#genre#

大爱一,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱二,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱三,https://pulltv3.wanfudaluye.com/live/tv3.m3u8


人间,http://54.64.23.79:1935/live/vod/playlist.m3u8
人间,http://54.64.23.79:1935/live/vod/chunklist_w226782990.m3u8
人间,http://54.64.23.79:1935/live/vod/chunklist_w1420404598.m3u8
华藏,http://118.163.88.61:1935/hwazanlivetv/live.stream/playlist.m3u8
华藏,http://118.163.88.61:1935/hwazanlivetv/live.stream/chunklist_w119159473.m3u8
华藏,http://118.163.88.61:1935/hwazanlivetv/live.stream/chunklist_w1204199278.m3u8

生命法会,http://210.209.3.1/live/973EAA2E-EEF7-7F3A-7105-17ECB9B1B77E?fmt=x264_0K_ts&cpid=admin&sora=1&size=1280X720&toflv=1&start=0#


生命,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
净宗学院网络直播,http://hls.ciguang.tv/hdtv/video.m3u8?auth_key=1557799219-0-0-4c865ccdb89d8eb4cbe54be628c127d9

净空老法师讲经,http://amtbsg.cloudapp.net/liveedge/_definst_/livetv/chunklist_w660449818.m3u8
净空老法师讲经,http://amtbsg.cloudapp.net/redirect/liveedge/_definst_/livetv/chunklist_w872255516.m3u8
净空老法师讲经,http://amtbsg.cloudapp.net/liveedge/_definst_/livetv/chunklist_w577962608.m3u8
普贤菩萨行愿品1,http://down.fodizi.com/mcfs/pxd3014-1.flv
普贤菩萨行愿品》2,http://down.fodizi.com/mcfs/pxd3014-2.flv
普贤菩萨行愿品》3,http://down.fodizi.com/mcfs/pxd3014-3.flv
普贤菩萨行愿品》4,http://down.fodizi.com/mcfs/pxd3014-4.flv
普贤菩萨行愿品》5,http://down.fodizi.com/mcfs/pxd3014-5.flv
华严经·觉林菩萨偈,http://down.fodizi.com/mcfs/p10907.mp4
浅说华严大意1,http://down.fodizi.com/mcfs/qsd3766-1.flv
浅说华严大意2,http://down.fodizi.com/mcfs/qsd3766-2.flv
心经1,http://down.fodizi.com/mcfs/xjd1818-1.flv
心经2,http://down.fodizi.com/mcfs/xjd1818-2.flv
心经3,http://down.fodizi.com/mcfs/xjd1818-3.flv
心经4,http://down.fodizi.com/mcfs/xjd1818-4.flv
金刚经1,http://down.fodizi.com/mcfs/jgd3016-1.flv
金刚经2,http://down.fodizi.com/mcfs/jgd3016-2.flv
金刚经3,http://down.fodizi.com/mcfs/jgd3016-3.flv
金刚经4,http://down.fodizi.com/mcfs/jgd3016-4.flv
金刚经5,http://down.fodizi.com/mcfs/jgd3016-5.flv
金刚经6,http://down.fodizi.com/mcfs/jgd3016-6.flv
金刚经7,http://down.fodizi.com/mcfs/jgd3016-7.flv
金刚经8,http://down.fodizi.com/mcfs/jgd3016-8.flv
金刚经9,http://down.fodizi.com/mcfs/jgd3016-9.flv
金刚经10,http://down.fodizi.com/mcfs/jgd3016-10.flv
金刚经11,http://down.fodizi.com/mcfs/jgd3016-11.flv
金刚经12,http://down.fodizi.com/mcfs/jgd3016-12.flv
金刚经13,http://down.fodizi.com/mcfs/jgd3016-13.flv
金刚经14,http://down.fodizi.com/mcfs/jgd3016-14.flv
金刚经15,http://down.fodizi.com/mcfs/jgd3016-15.flv
金刚经16,http://down.fodizi.com/mcfs/jgd3016-16.flv
金刚经17,http://down.fodizi.com/mcfs/jgd3016-17.flv
金刚经18,http://down.fodizi.com/mcfs/jgd3016-18.flv
佛说阿弥陀经1,http://down.fodizi.com/mcfs/amd2934-1.flv
佛说阿弥陀经2,http://down.fodizi.com/mcfs/amd2934-2.flv
佛说阿弥陀经3,http://down.fodizi.com/mcfs/amd2934-3.flv
佛说阿弥陀经4,http://down.fodizi.com/mcfs/amd2934-4.flv
佛说阿弥陀经5,http://down.fodizi.com/mcfs/amd2934-5.flv
了生死,http://down.fodizi.com/mcfs/lsd2302.flv
佛七开示1,http://down.fodizi.com/mcfs/d946-1.flv
佛七开示2,http://down.fodizi.com/mcfs/d946-2.flv
佛七开示3,http://down.fodizi.com/mcfs/d946-3.flv
佛七开示4,http://down.fodizi.com/mcfs/d946-4.flv
佛七开示5,http://down.fodizi.com/mcfs/d946-5.flv
佛七开示6,http://down.fodizi.com/mcfs/d946-6.flv
佛法与日常生活的关系,http://down.fodizi.com/mcfs/ffd3906.flv
观心自在1,http://down.fodizi.com/mcfs/gxd3179-1.flv
观心自在2,http://down.fodizi.com/mcfs/gxd3179-2.flv
觉悟,http://down.fodizi.com/mcfs/jwd2780.flv
